'bian'ma'qi 编码器
'tong'xin'tian'xian 通信天线
'tong'xin'xian'lan 通信线缆
'tong'xun'chan'pin'dai'li 通讯产品代理
'tong'xun'chan'pin'jia'gong 通讯产品加工
'tong'xun'dian'lan 通讯电缆
'tong'xun'jian'ce'yi'qi 通讯检测仪器
'tong'xun'zhong'duan 通讯终端
'tou'bi'dian'hua'ji 投币电话机
'wang'ka 网卡
'wang'luo'ce'shi'she'bei 网络测试设备
'wang'luo'dian'hua'ji 网络电话机
'wang'luo'ji'gui 网络机柜
'wang'luo'xian 网络线
'wang'qiao 网桥
'wei'xing'tian'xian 卫星天线
'wei'xing'yi'dong'dian'hua 卫星移动电话
'wu'sheng'dian'hua'ji 无绳电话机
'wu'xian'gu'hua 无线固话
'wu'xian'wang'ka 无线网卡
'wu'xian'wang'luo'she'bei 无线网络设备
'xi'tong 系统
'xian'cao 线槽
'xian'ka 线卡
'xian'kou 线扣
'xiao'ling'tong 小灵通
'xin'xi'mian'ban 信息面板
'xun'hu'ji 寻呼机
'yi'dong'dian'hua 移动电话
'yi'dong'dian'hua'pei'fu'jian 移动电话配附件
'yu'yin'chuan'zhen'wang'guan 语音传真网关
'zhong'ji'qi 中继器
'zhong'kuang 中框
'zhuan'huan'qi 转换器
